Id,Label,timeset,Cluter-ID,att2,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,pageranks,clustering,eigencentrality,modularity_class
100,Jenő Manninger,,3,Fidesz – Magyar Polgári Szövetség,1,2,3,1,2,3,3,0.545455,0.638889,0,0.001281,0.666667,0.014287,2
104,Judit Bertalan,,3,Fidesz – Magyar Polgári Szövetség,0,3,3,0,3,3,2,0.636364,0.714286,0,0.000789,0.666667,0,2
116,László Földi,,3,Kereszténydemokrata Néppárt,0,3,3,0,4,4,2,0.666667,0.75,0,0.000789,0.833333,0,5
121,László Nagy B.,,3,Fidesz – Magyar Polgári Szövetség,0,3,3,0,3,3,3,0.583333,0.690476,0,0.000789,0.666667,0,2
124,László Simon L.,,3,Fidesz – Magyar Polgári Szövetség,0,3,3,0,6,6,2,0.636364,0.714286,0,0.000789,0.666667,0,2
126,László Szászfalvi,,3,Kereszténydemokrata Néppárt,0,3,3,0,4,4,2,0.666667,0.75,0,0.000789,0.833333,0,5
127,László Tasó,,3,Fidesz – Magyar Polgári Szövetség,0,3,3,0,3,3,2,0.636364,0.714286,0,0.000789,0.666667,0,2
130,László Varju,,1,independent,1,2,3,2,6,8,1,1,1,0,0.001053,0.5,0.004034,6
141,Mihály Varga,,3,Fidesz – Magyar Polgári Szövetség,0,3,3,0,3,3,3,0.6,0.722222,0,0.000789,0.833333,0,2
142,Mihály Witzmann,,3,Fidesz – Magyar Polgári Szövetség,0,3,3,0,3,3,5,0.365385,0.462281,0,0.000789,0.666667,0,2
145,Miklós Soltész,,3,Kereszténydemokrata Néppárt,0,3,3,0,4,4,2,0.666667,0.75,0,0.000789,0.833333,0,5
161,Rózsa Hoffmann,,3,Kereszténydemokrata Néppárt,0,3,3,0,4,4,2,0.666667,0.75,0,0.000789,0.833333,0,5
162,Sándor Bodó,,3,Fidesz – Magyar Polgári Szövetség,0,3,3,0,3,3,2,0.636364,0.714286,0,0.000789,0.666667,0,2
163,Sándor Burány,,5,Magyar Szocialista Párt,0,3,3,0,7,7,7,0.247619,0.34652,0,0.000789,0.833333,0,4
176,Tamás Vargha,,3,Fidesz – Magyar Polgári Szövetség,0,3,3,0,3,3,2,0.636364,0.714286,0,0.000789,0.666667,0,2
181,Zoltán Balczó,,4,Jobbik Magyarországért Mozgalom,3,0,3,3,0,3,0,0,0,0,0.002922,0.333333,0.022645,1
186,Zoltán Kovács,,3,Fidesz – Magyar Polgári Szövetség,0,3,3,0,5,5,2,0.636364,0.714286,0,0.000789,0.666667,0,2
194,Zsolt Németh,,3,Fidesz – Magyar Polgári Szövetség,0,3,3,0,3,3,3,0.6,0.722222,0,0.000789,0.833333,0,2
196,Zsolt Nyitrai,,3,Fidesz – Magyar Polgári Szövetség,0,3,3,0,4,4,3,0.583333,0.690476,0,0.000789,0.666667,0,2
199,Zsolt Tiffán,,3,Fidesz – Magyar Polgári Szövetség,0,3,3,0,3,3,2,0.636364,0.714286,0,0.000789,0.666667,0,2
3,Ágnes Molnár,,3,Fidesz – Magyar Polgári Szövetség,0,2,2,0,2,2,3,0.545455,0.638889,0,0.000789,1,0,2
5,Ákos Kara,,3,Fidesz – Magyar Polgári Szövetség,0,2,2,0,2,2,3,0.545455,0.638889,0,0.000789,1,0,2
9,András Tállai,,3,Fidesz – Magyar Polgári Szövetség,0,2,2,0,2,2,3,0.545455,0.638889,0,0.000789,1,0,2
16,Attila Petneházy,,3,Fidesz – Magyar Polgári Szövetség,0,2,2,0,2,2,3,0.545455,0.638889,0,0.000789,1,0,2
23,Béla Dankó,,3,Fidesz – Magyar Polgári Szövetség,0,2,2,0,2,2,3,0.545455,0.638889,0,0.000789,1,0,2
