Id,Label,timeset,Cluter-ID,att2,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,pageranks,clustering,eigencentrality,modularity_class
178,Tibor Pogácsás,,3,Fidesz – Magyar Polgári Szövetség,0,2,2,0,2,2,3,0.545455,0.638889,0,0.000789,1,0,2
179,Timea Szabó,,2,independent,1,1,2,1,3,4,1,1,1,0,0.000957,0.5,0.002617,7
182,Zoltán Balog,,3,Fidesz – Magyar Polgári Szövetség,0,2,2,0,2,2,3,0.545455,0.638889,0,0.000789,1,0,2
183,Zoltán Bóna,,3,Fidesz – Magyar Polgári Szövetség,0,2,2,0,2,2,3,0.545455,0.638889,0,0.000789,1,0,2
184,Zoltán Demeter,,3,Fidesz – Magyar Polgári Szövetség,0,2,2,0,2,2,3,0.545455,0.638889,0,0.000789,1,0,2
189,Zoltán Tessely,,3,Fidesz – Magyar Polgári Szövetség,0,2,2,0,2,2,3,0.545455,0.638889,0,0.000789,1,0,2
190,Zsolt Becsó,,3,Fidesz – Magyar Polgári Szövetség,0,2,2,0,2,2,3,0.545455,0.638889,0,0.000789,1,0,2
191,Zsolt Csenger-Zalán,,3,Fidesz – Magyar Polgári Szövetség,0,2,2,0,2,2,3,0.545455,0.638889,0,0.000789,1,0,2
193,Zsolt Molnár,,5,Magyar Szocialista Párt,0,2,2,0,4,4,7,0.245283,0.327289,0,0.000789,1,0,4
195,Zsolt Németh V.,,3,Fidesz – Magyar Polgári Szövetség,0,2,2,0,2,2,3,0.545455,0.638889,0,0.000789,1,0,2
198,Zsolt Szabó,,3,Fidesz – Magyar Polgári Szövetség,0,2,2,0,2,2,3,0.545455,0.638889,0,0.000789,1,0,2
200,Zsuzsanna Szelényi,,2,independent,1,0,1,1,0,1,0,0,0,0,0.000957,0,0.002617,7
