Id,Label,timeset,Cluter-ID,att2,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,clustering,modularity_class,pageranks,componentnumber,strongcompnum,isperiphery,iscenter,eigencentrality
84,Tzipi Hotovely,,50,Likud,11,1,12,75,5,80,1,1,1,0,0.340909,1,0.006144,0,23,false,false,0.106465
87,Uri Yehuda Ariel,,41,The Jewish Home,5,2,7,21,8,29,1,1,1,0,0.428571,1,0.004876,0,17,false,false,0.07943
88,Yaakov Perry,,48,Yesh Atid,0,10,10,0,36,36,5,0.482759,0.620238,0,0.177778,0,0.003109,0,81,false,false,0
89,Yael German,,51,Yesh Atid,0,8,8,0,35,35,4,0.468354,0.554054,0,0.267857,0,0.003109,0,82,false,false,0
96,Yifat Shasha-Biton,,31,Kulanu,1,9,10,3,50,53,2,0.714286,0.8,0.000179,0.277778,0,0.003242,0,56,false,false,0.00175
102,Yoel Razvozov,,55,Yesh Atid,0,11,11,0,45,45,4,0.513889,0.61036,0,0.272727,0,0.003109,0,83,false,false,0
104,Yousef Jabareen,,49,Joint List,0,10,10,0,91,91,4,0.521127,0.605856,0,0.388889,2,0.003109,0,84,false,false,0
107,Zeev Elkin,,2,Likud,0,1,1,0,5,5,1,1,1,0,0,1,0.003109,0,85,true,false,0
109,Zouheir Bahloul,,37,Zionist Union,0,7,7,0,26,26,5,0.45283,0.577778,0,0.261905,0,0.003109,0,86,false,false,0
1,Abd Al Hakeem Haj Yahya,,7,Joint List,0,2,2,0,16,16,5,0.362745,0.410811,0,0.5,2,0.003109,0,87,false,false,0
8,Aryeh Machluf Deri,,16,Shas,5,0,5,19,0,19,0,0,0,0,0.15,0,0.005008,0,34,true,false,0.028853
10,Avigdor Liberman,,11,Yisrael Beiteinu,4,0,4,15,0,15,0,0,0,0,0.166667,0,0.004589,0,61,true,false,0.008394
13,Ayelet Shaked,,13,The Jewish Home,0,2,2,0,29,29,1,1,1,0,0.5,1,0.003109,0,88,false,false,0
15,Basel Ghattas,,29,Joint List,0,7,7,0,29,29,4,0.487179,0.554825,0,0.380952,2,0.003109,0,89,false,false,0
16,Bezalel Smotrich,,18,The Jewish Home,0,4,4,0,27,27,2,0.7,0.785714,0,0.5,0,0.003109,0,90,true,false,0
21,Eitan Broshi,,44,Zionist Union,0,7,7,0,29,29,5,0.446809,0.588889,0,0.285714,0,0.003109,0,91,false,false,0
27,Erel Margalit,,61,Zionist Union,0,10,10,0,52,52,4,0.526316,0.633333,0,0.355556,1,0.003109,0,92,false,false,0
29,Eyal Ben-Reuven,,42,Zionist Union,0,8,8,0,39,39,2,0.722222,0.807692,0,0.446429,0,0.003109,0,93,true,false,0
34,Hanin Zoabi,,19,Joint List,0,5,5,0,27,27,4,0.431818,0.497807,0,0.4,2,0.003109,0,94,false,false,0
46,Meir Porush,,9,United Torah Judaism,0,2,2,0,9,9,4,0.425532,0.479167,0,0.5,1,0.003109,0,95,false,false,0
47,Menachem Eliezer Moses,,22,United Torah Judaism,0,7,7,0,37,37,3,0.631579,0.763889,0,0.285714,0,0.003109,0,96,false,false,0
50,Meshulam Nahari,,3,Shas,0,1,1,0,3,3,1,1,1,0,0,1,0.003109,0,97,true,false,0
62,Nissan Slomiansky,,21,The Jewish Home,1,3,4,3,12,15,3,0.583333,0.690476,0,0.416667,0,0.004007,0,12,false,false,0.013962
66,Ofir Akunis,,4,Likud,0,1,1,0,4,4,1,1,1,0,0,1,0.003109,0,98,true,false,0
78,Sofa Landver,,23,Yisrael Beiteinu,2,5,7,6,25,31,2,0.666667,0.75,0.000132,0.309524,0,0.003815,0,63,true,false,0.003499
80,Talab Abu Arar,,6,Joint List,0,1,1,0,12,12,5,0.355769,0.392793,0,0,2,0.003109,0,99,true,false,0
85,Tzipi Livni,,1,Zionist Union,0,1,1,0,4,4,5,0.313433,0.354762,0,0,1,0.003109,0,100,true,false,0
90,Yair Lapid,,33,Yesh Atid,8,0,8,27,0,27,0,0,0,0,0.017857,0,0.005265,0,49,true,false,0.014694
91,Yakov Litzman,,5,United Torah Judaism,0,1,1,0,4,4,1,1,1,0,0,1,0.003109,0,101,true,false,0
97,Yitzhak Cohen,,10,Shas,1,1,2,3,4,7,1,1,1,0,0.5,0,0.003889,0,10,false,false,0.047598
