W(u),W(v),d4,d3,var4,var3,w_centrality,uw_centrality,sign,score
57.0,-337.0,0.0029216467463479417,0.8833333333333333,118.36471453363947,120.5454802259887,0.0,0.00121934426260033,1.0,0.061224489795918366
57.0,-330.0,-0.17457602964229726,-1.05,76.36931932207642,93.50593220338983,0.0,0.0006561755344069698,-1.0,-0.0967741935483871
57.0,34.0,1.0377041306436119,-0.2894736842105263,64.88760039670645,65.2923186344239,0.003056628056628057,0.0002345504639916061,1.0,0.12
57.0,313.0,1.0959349593495935,3.3,81.29460943397133,104.66326530612245,0.0,0.0006194066242331486,1.0,0.13432835820895522
57.0,209.0,1.6351585014409222,2.9583333333333335,58.16452075215917,50.1258865248227,0.02039284182141325,0.0002758334937769435,1.0,0.40540540540540543
57.0,475.0,2.4158444158444157,4.183333333333334,75.58877637853611,89.50819209039548,0.009284794999080713,0.0004834560446037463,-1.0,-0.14754098360655737
57.0,-41.0,0.6861534239055853,1.2166666666666666,81.01526665941148,98.34209039548023,0.0,0.0005553060237908021,-1.0,-0.06976744186046512
57.0,364.0,2.1659079413252402,5.0,76.24835524211399,83.70212765957447,0.0,0.0003449567215990723,1.0,0.3103448275862069
57.0,-144.0,0.14059714795008912,-1.1590909090909092,61.72905798966871,50.834566596194506,0.026172856529999386,0.00022517206595704106,-1.0,-0.2413793103448276
57.0,-57.0,0.5591297591297592,2.16,80.2384599202131,94.01469387755103,0.0,0.0004760330040839589,-1.0,-0.06976744186046512
57.0,-81.0,0.3364936042136945,1.5961538461538463,77.00505723976192,81.61802413273001,0.0,0.0005849688273054964,1.0,0.058823529411764705
57.0,-17.0,0.6082870568133276,0.5,90.16681824171083,112.05882352941177,0.0,0.0009319543249692058,-1.0,-0.06382978723404255
57.0,104.0,1.278228321896444,2.2142857142857144,69.46084245118605,84.61149825783973,0.0,0.00025892866691248006,1.0,0.36
57.0,35.0,0.9461426491994177,1.3695652173913044,64.8434951876055,53.88260869565217,0.001417233560090703,0.00020786816744395586,1.0,0.2
57.0,34.0,0.780536398467433,2.2666666666666666,71.7170030843969,64.02937853107345,0.0,0.0003795992015775515,1.0,0.1111111111111111
57.0,499.0,2.735273368606702,3.5869565217391304,75.43546398417334,55.09227053140097,0.004075504075504075,0.0003456170949706537,1.0,0.10344827586206896
57.0,-14.0,0.5864227250842562,-0.23333333333333334,71.3038862540196,74.65649717514124,0.0,0.00040453817392607213,1.0,0.05263157894736842
57.0,-110.0,0.3076923076923077,0.8275862068965517,70.48711228868473,71.89957652752571,0.0,0.0002701680863069902,1.0,0.2
57.0,-41.0,0.5517978620019436,0.45652173913043476,62.08017999023649,65.49806763285024,0.0,0.0002689273293784127,1.0,0.1891891891891892
57.0,51.0,1.018096623040879,1.4259259259259258,65.00549017101154,58.28686233403214,0.0,0.0003703496067754664,-1.0,-0.1282051282051282
57.0,-45.0,0.6470390874014427,-1.3695652173913044,60.43747822816991,59.92705314009662,0.0,0.0004047014484105202,-1.0,-0.16666666666666666
57.0,-122.0,0.49627356422621655,0.8275862068965517,64.57887386376612,61.30308529945553,0.0,0.0004512599608620442,-1.0,-0.2
57.0,-62.0,0.4627650551314673,1.1304347826086956,68.2001318170345,85.58260869565217,0.0,0.0003624954646483077,1.0,0.10344827586206896
57.0,74.0,1.0473597359735973,1.3076923076923077,63.69952265320607,60.413273001508294,0.0034703070417356134,0.00038049713570643273,-1.0,-0.17647058823529413
57.0,-136.0,0.41584313725490196,0.7916666666666666,73.36626919409119,51.27482269503546,0.0,0.0004902304799044373,-1.0,-0.15
57.0,189.0,1.3306733865322693,2.425925925925926,68.69797668174331,54.28686233403214,0.0,0.0006699189534941647,0.0,0.0
57.0,149.0,1.0694210230466554,1.9833333333333334,78.36341616508994,112.32175141242938,0.0,0.0005263822730041643,1.0,0.02702702702702703
57.0,107.0,1.1933827723901882,1.4318181818181819,63.034296257223126,47.08826638477801,0.0,0.00030663425671961797,1.0,0.15384615384615385
57.0,21.0,0.8361516034985422,1.625,62.4297970065609,64.11170212765957,0.004014218299932586,0.00027839207979053667,1.0,0.037037037037037035
57.0,-227.0,-0.14733044733044734,0.13793103448275862,69.9590959176325,74.26134301270417,0.0,0.0004750556351978984,1.0,0.35714285714285715
57.0,-24.0,0.6719428926132837,1.25,62.35710761797338,50.19230769230769,0.07329702151130722,0.00017987181825258942,0.0,0.0
-337.0,101.0,0.09607924632862289,0.4322033898305085,107.04120111432921,83.99109083007389,0.0,0.0008672862521003947,1.0,0.045454545454545456
-337.0,34.0,-0.21831501831501832,0.8846153846153846,126.28745148354332,70.18615384615384,0.0,0.0017781732067446365,1.0,0.17142857142857143
-337.0,5.0,-0.49145299145299143,-1.16,113.20548323647029,107.48408163265306,0.0,0.0011461666735687103,1.0,0.03529411764705882
-337.0,58.0,0.04093567251461988,-0.0661764705882353,105.01445526841955,81.23262527233115,0.0,0.0008478273620334306,1.0,0.011111111111111112
-337.0,-227.0,-0.7619195046439629,-1.82,107.20736346531953,120.14834170854272,0.20242461849604712,0.0008018508428243123,-1.0,-0.12727272727272726
-337.0,-1.0,-0.4423525977816696,-0.18181818181818182,123.62461381931452,69.12896405919662,0.006549917264202979,0.001173336823186009,-1.0,-0.15625
-337.0,-14.0,-1.1012426900584795,-3.875,121.6902946160343,59.18333333333333,0.0,0.002047127302229348,-1.0,-0.1111111111111111
-337.0,-21.0,-0.9883040935672515,-0.6071428571428571,116.82352002189181,68.61772486772487,0.0,0.0014908317429325828,-1.0,-0.08695652173913043
-337.0,169.0,0.3811059357458498,-0.5802469135802469,121.32276989657032,192.84134652250592,0.0,0.0008314256219693103,-1.0,-0.009174311926605505
-337.0,102.0,-0.09923081439727556,-0.006329113924050633,112.93366411765523,117.70059662984761,0.0,0.0008150174688770635,1.0,0.07692307692307693
-337.0,10.0,-0.21962833914053426,0.5806451612903226,112.88926504944655,75.13273400317293,0.0,0.0010413493625209909,-1.0,-0.08571428571428572
-337.0,209.0,0.60894716544543,1.2686567164179106,110.43227065337597,122.84457412187184,0.0,0.0008351568529021298,1.0,0.044585987261146494
-337.0,-136.0,-0.5111227275367369,-2.247422680412371,111.39615009280186,152.35297259761765,0.0,0.0009452523911693833,-1.0,-0.05641025641025641
-337.0,33.0,-0.12610697839178178,0.08139534883720931,110.450307648815,104.00506155950752,0.0,0.0009637351674172433,-1.0,-0.05263157894736842
-337.0,47.0,-0.39492498827941863,-0.2948717948717949,122.82058257656831,132.44152191894128,0.0,0.0008020499841377382,1.0,0.026737967914438502
-337.0,10.0,-0.5801388888888889,0.3125,118.70450894028492,94.77260638297872,0.0,0.001139216760719366,1.0,0.1076923076923077
-337.0,82.0,0.10627538754870264,1.2333333333333334,111.22631030949782,92.45056179775281,0.0,0.0009083541075031277,-1.0,-0.06557377049180328
-337.0,-57.0,-0.6628114873170187,-1.9052631578947368,127.27619530233885,201.10208855472013,0.0,0.0007608685071286665,1.0,0.036065573770491806
-337.0,-8.0,-0.9831892411143132,-2.0714285714285716,119.37261490794762,74.68681318681318,0.0,0.002559994396729095,1.0,0.13725490196078433
-337.0,-129.0,-1.5305479312798618,-1.6285714285714286,110.87353297546264,108.00496894409937,0.0,0.0010171684255784795,-1.0,-0.1559633027522936
-337.0,-24.0,-0.8018244438238853,0.02564102564102564,107.26653176698018,89.8954378954379,0.0,0.0009715591459521845,1.0,0.06930693069306931
-337.0,74.0,-0.18246404435972968,-0.9470588235294117,108.70728951501083,168.0030978071702,0.0,0.0007829412701305156,1.0,0.03734439834024896
-337.0,94.0,0.21275303643724697,0.20634920634920634,110.37466695972154,124.19707936507938,0.0,0.0008829183564729995,-1.0,-0.08256880733944955
-337.0,-20.0,-0.3183285509325681,-0.689873417721519,116.1089197385236,155.54015157623155,0.0,0.0007845827168449715,-1.0,-0.011494252873563218
-337.0,-14.0,0.0,0.0,0.0,0.0,0.013260709689281119,0.013421584850156274,-1.0,-0.4666666666666667
-337.0,-10.0,-1.6294888043937474,-3.5,113.98396520771485,59.96153846153846,0.0,0.0023665064481391018,1.0,0.1111111111111111
-337.0,313.0,0.6310771107045845,0.10747663551401869,143.94854297437294,177.71139923654073,0.0,0.0008456817448529184,1.0,0.01818181818181818
-337.0,189.0,0.538293897882939,-0.38495575221238937,115.33224737187288,141.11781710914454,0.0,0.0006491013408788941,-1.0,-0.03501945525291829
-337.0,-41.0,-0.3213190942351429,-1.5363636363636364,128.20147081367446,185.75666251556663,0.0,0.0007561021459464131,-1.0,-0.03557312252964427
-337.0,149.0,0.07136391068195534,-0.5700934579439252,132.63640972744264,186.69694177526216,0.0,0.0006989497944561818,0.0,0.0
-337.0,-3.0,-0.6077573636628755,-3.5,110.74545905896342,96.92857142857143,0.006549917264202979,0.0018328857614571931,-1.0,-0.09375
-337.0,171.0,0.923669923995657,2.2222222222222223,116.49314148730252,70.48513302034429,0.0,0.0012939000772935264,1.0,0.16923076923076924
-337.0,35.0,-0.2919635332873669,0.5294117647058824,109.5669879692493,105.49912638322655,0.0,0.0009189567450769022,1.0,0.06349206349206349
-337.0,7.0,-0.49048930867112683,-0.15714285714285714,97.5502867136607,77.55786228160329,0.0,0.0010296543235066406,1.0,0.13043478260869565
-337.0,-43.0,-0.5535601764335224,0.17708333333333334,108.72229847026587,90.42094298245614,0.0,0.0009090386257843805,-1.0,-0.06896551724137931
-337.0,364.0,1.294598063236495,1.475,129.87271919845142,138.43962264150943,0.0,0.0007912234742436791,1.0,0.06341463414634146
-337.0,380.0,1.031046976511744,1.3597560975609757,111.4635827858233,108.88205147388898,0.0,0.0010574226736829561,1.0,0.09547738693467336
-337.0,69.0,0.3013414055080722,0.1282051282051282,115.7456573683288,126.38345740281224,0.032358889501746646,0.0008164193230472854,-1.0,-0.10052910052910052
-337.0,23.0,-0.18185967657798643,-0.5507246376811594,106.11280034965921,121.05215275573892,0.0,0.0010396380475100472,-1.0,-0.022222222222222223
-337.0,-57.0,-0.8743441038387186,-0.6375,115.9012594091088,100.96819620253164,0.0,0.0009465991443767447,-1.0,-0.1111111111111111
-337.0,195.0,0.7473283560240082,1.0446428571428572,108.29849772966803,149.2502413127413,0.0,0.0009027561823403139,-1.0,-0.013157894736842105
-337.0,475.0,1.3567421460628315,0.7941176470588235,127.23188599420057,172.82439872500726,0.0,0.0007249076745673612,1.0,0.07194244604316546
-337.0,51.0,-0.26716023875114786,-1.069767441860465,107.7799098369175,136.48633210934312,0.0,0.0007912876889658394,1.0,0.058333333333333334
-337.0,145.0,0.37267862763613474,0.4782608695652174,104.89711297685685,132.86448746429704,0.0,0.0008335336272392886,1.0,0.047058823529411764
-337.0,-9.0,-1.0715372907153728,-4.5,117.74335022459815,43.666666666666664,0.007147453576025004,0.005255255255255252,-1.0,-0.17647058823529413
-337.0,97.0,0.49510215505177724,2.4782608695652173,123.45141057738654,108.03285024154589,0.0,0.0011329859224898232,1.0,0.09375
-337.0,21.0,-0.37432432432432433,-0.20454545454545456,117.92188158273908,71.51532769556026,0.0,0.0014259689532029594,1.0,0.022727272727272728
-337.0,-122.0,-0.6768463695855407,-1.715,110.06696816660059,151.45103015075375,0.0,0.0007369377726378719,-1.0,-0.027777777777777776
-337.0,-41.0,-0.46969106957424717,-0.038461538461538464,109.0759944005641,83.33959451401311,0.0,0.0008403482946784936,-1.0,-0.038461538461538464
-337.0,-26.0,-0.3940461511361635,-1.4938271604938271,111.17149479035379,135.04654551031362,0.0,0.0008040826258283589,-1.0,-0.047619047619047616
-337.0,160.0,0.2791983413959917,1.9285714285714286,110.80301296503488,88.80927835051547,0.0,0.0008997188475947487,1.0,0.17142857142857143
-337.0,-6.0,-0.44323496210288665,-0.020833333333333332,107.97198108324493,103.97850877192982,0.0,0.0009466426310336257,-1.0,-0.03125
-337.0,-110.0,-1.0958887471913523,-0.9285714285714286,110.88118496709491,94.49845837615622,0.0,0.000834399430426517,1.0,0.11794871794871795
-337.0,-117.0,-1.5402869757174393,-1.6282051282051282,116.35308198920391,83.7950382950383,0.0,0.0009584470234283858,-1.0,-0.08860759493670886
-337.0,68.0,0.01488095238095238,-1.7608695652173914,113.12989900779588,88.31932367149759,0.0,0.0011721898540413122,1.0,0.18840579710144928
